customer_id,name,email,tenure_months,monthly_charge_usd,total_charges_usd,num_complaints_90d,late_payments_12m,support_calls_30d,avg_data_usage_gb,num_services,discount_pct_active,contract_type,payment_method,has_competitor_offer,plan_type,current_debt_usd,preferred_channel,last_complaint_text,churn
1,Cliente 1,user1@demo.com,7,38.67,268.31,0,0,0,13.7,4,0,one_year,cash,1,basic,0.0,email,sin quejas registradas,1
2,Cliente 2,user2@demo.com,55,75.34,4034.13,1,1,1,21.4,5,5,month_to_month,bank_transfer,0,standard,0.0,email,Demoras al contestar en el call center,0
3,Cliente 3,user3@demo.com,47,55.76,2230.22,2,1,0,19.2,5,15,one_year,bank_transfer,0,standard,0.0,chat,Internet inestable en horas pico,0
4,Cliente 4,user4@demo.com,32,48.78,1384.36,0,2,1,6.6,4,0,month_to_month,credit_card,1,standard,0.0,email,sin quejas registradas,1
5,Cliente 5,user5@demo.com,31,52.66,1595.09,0,1,0,12.6,5,0,one_year,electronic_check,0,standard,0.0,whatsapp,sin quejas registradas,0
6,Cliente 6,user6@demo.com,61,59.91,3383.87,0,0,3,16.5,5,5,month_to_month,bank_transfer,0,standard,0.0,whatsapp,sin quejas registradas,0
7,Cliente 7,user7@demo.com,7,68.57,496.72,0,2,2,24.9,2,15,month_to_month,credit_card,1,standard,0.0,whatsapp,sin quejas registradas,1
8,Cliente 8,user8@demo.com,50,33.01,1655.36,1,1,0,68.5,3,15,one_year,electronic_check,0,basic,0.0,whatsapp,Demoras al contestar en el call center,0
9,Cliente 9,user9@demo.com,15,32.09,452.22,1,3,0,56.2,5,15,one_year,electronic_check,1,basic,71.13,chat,Demoras al contestar en el call center,0
10,Cliente 10,user10@demo.com,7,79.3,555.05,1,2,2,4.0,5,0,month_to_month,credit_card,1,standard,0.0,email,Internet inestable en horas pico,1
11,Cliente 11,user11@demo.com,38,45.93,1824.02,0,0,0,36.5,1,5,month_to_month,electronic_check,0,standard,0.0,chat,sin quejas registradas,0
12,Cliente 12,user12@demo.com,70,23.83,1571.68,0,1,1,45.2,1,0,two_year,electronic_check,0,basic,0.0,phone,sin quejas registradas,0
13,Cliente 13,user13@demo.com,53,64.76,3358.5,0,1,0,46.4,2,15,two_year,electronic_check,0,standard,0.0,whatsapp,sin quejas registradas,0
14,Cliente 14,user14@demo.com,55,65.19,3706.4,1,1,0,4.3,4,0,month_to_month,credit_card,0,standard,0.0,whatsapp,Velocidad menor a la contratada,0
15,Cliente 15,user15@demo.com,51,21.32,978.3,0,2,0,22.7,2,5,month_to_month,electronic_check,0,basic,0.0,whatsapp,sin quejas registradas,0
16,Cliente 16,user16@demo.com,56,60.05,3454.64,0,2,1,39.8,4,10,month_to_month,credit_card,1,standard,0.0,chat,sin quejas registradas,1
17,Cliente 17,user17@demo.com,37,71.18,2289.99,0,0,0,4.8,1,15,month_to_month,electronic_check,0,standard,0.0,email,sin quejas registradas,0
18,Cliente 18,user18@demo.com,10,63.24,619.56,0,2,2,3.9,1,0,month_to_month,credit_card,1,standard,0.0,chat,sin quejas registradas,1
19,Cliente 19,user19@demo.com,60,68.9,4161.15,0,1,0,50.4,4,15,two_year,electronic_check,0,standard,0.0,email,sin quejas registradas,0
20,Cliente 20,user20@demo.com,32,24.11,750.63,0,0,1,11.3,2,0,month_to_month,credit_card,0,basic,0.0,chat,sin quejas registradas,0
21,Cliente 21,user21@demo.com,36,62.28,2127.97,0,1,0,13.8,1,0,month_to_month,credit_card,1,standard,0.0,whatsapp,sin quejas registradas,1
22,Cliente 22,user22@demo.com,27,48.34,1270.55,0,0,0,13.9,2,0,month_to_month,credit_card,0,standard,0.0,email,sin quejas registradas,0
23,Cliente 23,user23@demo.com,13,44.38,507.9,1,1,0,41.5,2,15,month_to_month,electronic_check,0,standard,0.0,phone,Demoras al contestar en el call center,0
24,Cliente 24,user24@demo.com,66,74.15,4370.81,0,0,1,7.2,3,5,month_to_month,credit_card,0,standard,0.0,whatsapp,sin quejas registradas,0
25,Cliente 25,user25@demo.com,56,87.54,4431.53,0,3,0,52.4,5,0,month_to_month,bank_transfer,0,premium,253.63,chat,sin quejas registradas,0
26,Cliente 26,user26@demo.com,46,94.48,4213.77,0,1,0,11.9,1,0,month_to_month,electronic_check,0,premium,0.0,phone,sin quejas registradas,1
27,Cliente 27,user27@demo.com,29,83.93,2283.99,0,1,0,10.5,4,15,one_year,credit_card,0,premium,0.0,whatsapp,sin quejas registradas,0
28,Cliente 28,user28@demo.com,59,52.59,2789.1,0,0,0,7.3,2,0,month_to_month,credit_card,1,standard,0.0,whatsapp,sin quejas registradas,0
29,Cliente 29,user29@demo.com,39,62.76,2512.65,0,3,1,36.2,3,5,one_year,bank_transfer,0,standard,113.76,chat,sin quejas registradas,0
30,Cliente 30,user30@demo.com,32,71.87,2126.86,0,0,0,13.4,2,10,two_year,credit_card,1,standard,0.0,phone,sin quejas registradas,0
31,Cliente 31,user31@demo.com,32,57.67,1733.25,0,2,0,18.4,2,20,month_to_month,cash,1,standard,0.0,email,sin quejas registradas,1
32,Cliente 32,user32@demo.com,17,57.88,916.99,1,0,1,33.7,3,0,month_to_month,credit_card,0,standard,0.0,chat,Internet inestable en horas pico,0
33,Cliente 33,user33@demo.com,7,73.12,453.69,0,0,2,22.3,3,0,two_year,credit_card,1,standard,0.0,chat,sin quejas registradas,0
34,Cliente 34,user34@demo.com,40,53.7,2140.11,0,2,1,31.1,1,0,month_to_month,electronic_check,1,standard,0.0,email,sin quejas registradas,1
